feature,gain,split,gain_rank,split_rank
BwdHeaderLen,2916462.8271368966,2018,1,11
BwdPSHFlags,313120.29260075605,160,2,44
FwdHeaderLen,108610.26023342929,1455,3,15
PktLenMin,85449.21421074541,125,4,46
PSHFlagCnt,81615.8696475809,17,5,54
InitBwdWinByts,68518.59933976206,5367,6,2
TotLenBwdPkts,66018.46717708408,2129,7,9
FlowIATMean,49814.40054967429,1563,8,14
SubflowBwdByts,11793.002133932168,97,9,49
FwdIATMin,11686.423411617063,1022,10,19
FlowIATMin,10328.480771025883,6290,11,1
FlowIATStd,9519.252487361817,1719,12,12
FlowPkts/s,9414.761242263674,2983,13,3
TotBwdPkts,7053.748004190085,1268,14,18
BwdIATTot,6124.815988691364,620,15,23
BwdIATStd,5951.267738464361,701,16,21
TotFwdPkts,5687.252310357493,2543,17,6
FwdIATTot,5355.54981429092,360,18,34
TotLenFwdPkts,5190.790167323998,416,19,30
Down/UpRatio,5156.784435166046,324,20,35
FwdPkts/s,4973.8638265252375,1666,21,13
BwdIATMin,4670.6751164546,2123,22,10
BwdPkts/s,3937.9091088723653,2413,23,7
FINFlagCnt,3767.1457312510756,427,24,28
PktLenStd,3503.1831374210524,2559,25,5
ACKFlagCnt,2867.905068040105,466,26,26
FlowDuration,2808.973595994129,2593,27,4
FwdPktLenMin,2601.814835861689,151,28,45
FwdIATMean,2497.8557294366183,541,29,24
FwdPktLenMean,2480.4088204878353,697,30,22
BwdIATMax,2423.0693374359325,324,31,35
RSTFlagCnt,2255.721811666808,364,32,33
PktLenMax,2108.92965123021,821,33,20
FlowByts/s,2001.2371601656341,1432,34,16
BwdPktLenStd,1898.7163300208776,297,35,38
FlowIATMax,1778.7570475501416,1326,36,17
BwdPktLenMax,1749.6251450947748,484,37,25
BwdPktLenMean,1445.9237727524414,419,38,29
PktLenMean,1411.670957203154,2256,39,8
PktSizeAvg,1238.9803470533952,324,40,35
BwdPktLenMin,825.8644962886901,383,41,31
FwdIATMax,783.2645380851318,290,42,40
FwdPktLenMax,757.4279388207215,382,43,32
SYNFlagCnt,744.7436884845665,231,44,42
BwdIATMean,458.68562429946905,454,45,27
FwdPktLenStd,384.85871994773333,293,46,39
CWEFlagCount,319.7320867499802,81,47,50
SubflowBwdPkts,290.80943493085215,108,48,47
PktLenVar,183.84816572448472,202,49,43
SubflowFwdPkts,146.0070441272983,107,50,48
FwdIATStd,142.87862367471098,280,51,41
BwdSegSizeAvg,97.89657217328204,41,52,52
ECEFlagCnt,35.60394748568069,6,53,55
FwdSegSizeAvg,30.56837494217325,57,54,51
SubflowFwdByts,14.11441829688556,24,55,53
FwdPSHFlags,0.0,0,56,56
URGFlagCnt,0.0,0,56,56
FwdURGFlags,0.0,0,56,56
InitFwdWinByts,0.0,0,56,56
BwdURGFlags,0.0,0,56,56
